,station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count,platform_count_final,line_name_clean,trans_count_final,station_score,station_score_normalized,trans_lines_normalized,platform_normalized,station_score_normalized_final,trans_lines_normalized_final,platform_normalized_final,final_score
0,2199031507933,307385376810962399,地铁S1线,苹果园,2199031507936,2199031507934,116.179056,39.925409,2,1,#CE6828,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁1号线']",2,1,8,2.0,地铁S1线,2,5.0,0.0,0.3333333333333333,0.3333333333333333,0.05882352941176472,0.3333333333333333,0.3333333333333333,0.2784313725490196
2,13633567133705785539,307385376810962399,地铁S1线,金安桥,7495602811843933210,2199027905939,116.16312,39.923561,2,1,#CE6828,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁11号线', '地铁11号线延线']",3,2,8,3.0,地铁S1线,4,6.0,0.3333333333333335,1.0,0.6666666666666667,0.3333333333333335,1.0,0.6666666666666667,0.8
6,15120089943267423985,307385376810962399,地铁S1线,四道桥,5004943707258828498,12802089505195059245,116.134035,39.916014,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,3,8,1.0,地铁S1线,1,7.0,0.6666666666666665,0.0,0.0,0.6666666666666665,0.0,0.0,0.1333333333333333
7,16366247463752411727,307385376810962399,地铁S1线,桥户营,9135925857181874376,16624646331218157303,116.125863,39.912391,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,4,8,1.0,地铁S1线,1,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2
8,9345300275462916886,307385376810962399,地铁S1线,上岸,16582163415348437933,2199027905940,116.122221,39.90514,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,5,8,1.0,地铁S1线,1,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2
9,4858050978060799347,307385376810962399,地铁S1线,栗园庄,2199027905427,2199027906006,116.123257,39.895765,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,6,8,1.0,地铁S1线,1,7.0,0.6666666666666665,0.0,0.0,0.6666666666666665,0.0,0.0,0.1333333333333333
10,4576720833505535465,307385376810962399,地铁S1线,小园,2199027905425,2199027906005,116.114411,39.890456,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,7,8,1.0,地铁S1线,1,6.0,0.3333333333333335,0.0,0.0,0.3333333333333335,0.0,0.0,0.0666666666666667
11,1815666159777518875,307385376810962399,地铁S1线,石厂,2199027905426,2199027906004,116.100318,39.889369,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,8,8,1.0,地铁S1线,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,18062094900023348929,2284796347301575980,地铁2号线内环,积水潭,2199027905363,2199027905888,116.373131,39.948635,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,"['地铁2号线外环', '地铁19号线']",2,1,19,2.0,地铁2号线,2,10.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3666666666666667
14,13106916127039265969,2284796347301575980,地铁2号线内环,鼓楼大街,5694076017037154614,10003142350369797181,116.393779,39.948975,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,"['地铁2号线外环', '地铁8号线']",2,2,19,2.0,地铁2号线,2,11.0,0.11111111111111094,0.3333333333333333,0.3333333333333333,0.9934640522875815,0.3333333333333333,0.3333333333333333,0.46535947712418296
