station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count
2199031507933,307385376810962399,地铁S1线,苹果园,2199031507936,2199031507934,116.179056,39.925409,2,1,#CE6828,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁1号线']",2,1,8
13633567133705785539,307385376810962399,地铁S1线,金安桥,7495602811843933210,2199027905939,116.163120,39.923561,2,1,#CE6828,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁11号线', '地铁11号线延线']",3,2,8
15120089943267423985,307385376810962399,地铁S1线,四道桥,5004943707258828498,12802089505195059245,116.134035,39.916014,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,3,8
16366247463752411727,307385376810962399,地铁S1线,桥户营,9135925857181874376,16624646331218157303,116.125863,39.912391,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,4,8
9345300275462916886,307385376810962399,地铁S1线,上岸,16582163415348437933,2199027905940,116.122221,39.905140,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,5,8
4858050978060799347,307385376810962399,地铁S1线,栗园庄,2199027905427,2199027906006,116.123257,39.895765,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,6,8
4576720833505535465,307385376810962399,地铁S1线,小园,2199027905425,2199027906005,116.114411,39.890456,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,7,8
1815666159777518875,307385376810962399,地铁S1线,石厂,2199027905426,2199027906004,116.100318,39.889369,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,8,8
3730209837162904171,544319989784743849,地铁S1线,石厂,2199027905407,2199027906004,116.100318,39.889369,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,1,8
9724159153492811376,544319989784743849,地铁S1线,小园,2199027905408,2199027906005,116.114411,39.890456,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,2,8
3109708822597986538,544319989784743849,地铁S1线,栗园庄,2199027905409,2199027906006,116.123257,39.895765,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,3,8
14929426382503662518,544319989784743849,地铁S1线,上岸,2199027905410,2199027905940,116.122221,39.905140,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,4,8
1244910090647617983,544319989784743849,地铁S1线,桥户营,3609213773984437316,16624646331218157303,116.125863,39.912391,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,5,8
15669756475965262407,544319989784743849,地铁S1线,四道桥,8183769952035155771,12802089505195059245,116.134035,39.916014,2,0,#CE6828,110000,110000,110000,1:1,,1,1,,,0,6,8
8974527455674243603,544319989784743849,地铁S1线,金安桥,2199027905411,2199027905939,116.163120,39.923561,2,1,#CE6828,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁11号线', '地铁11号线延线']",3,7,8
2199031507932,544319989784743849,地铁S1线,苹果园,2199031507935,2199031507934,116.179056,39.925409,2,1,#CE6828,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁1号线']",2,8,8
